Date,Share return,Sentiment Score
2020-04-08,0.019478198999999998,0.0
2020-05-08,0.029623191,0.0
2020-06-08,0.043922334,0.0
2020-07-08,-0.035714269,0.0
2020-10-08,0.00202941,0.0
2020-11-08,-0.013502093,0.0
2020-12-08,0.027715978999999998,0.0
2020-08-13,-0.001997653,0.047619048
2020-08-14,0.000166772,-0.1
2020-08-14,0.000166772,0.066666667
2020-08-14,0.000166772,0.092857143
2020-08-14,0.000166772,0.578125
2020-08-17,0.016010657,0.106018519
2020-08-17,0.016010657,0.168333333
2020-08-18,0.034963905,0.6
2020-08-19,0.0023790960000000002,0.0
2020-08-20,-0.001582326,0.05
2020-08-20,-0.001582326,0.71
2020-08-21,0.019175912,0.295238095
2020-08-21,0.019175912,0.38333333299999994
2020-08-21,0.019175912,0.4375
2020-08-24,0.058622362000000004,0.25
2020-08-24,0.058622362000000004,0.297272727
2020-08-25,-0.02467685,-0.2
2020-08-25,-0.02467685,-0.083333333
2020-08-25,-0.02467685,-0.066666667
2020-08-25,-0.02467685,-0.038888888999999996
2020-08-25,-0.02467685,0.11296296300000001
2020-08-26,0.033885541,0.065482955
2020-08-26,0.033885541,0.302321429
2020-08-27,-0.016168987,0.2
2020-08-27,-0.016168987,0.2
2020-08-27,-0.016168987,0.201388889
2020-08-27,-0.016168987,0.28035714300000003
2020-08-27,-0.016168987,0.40178571399999996
2020-08-28,-0.0044418570000000004,0.23159090899999998
2020-08-28,-0.0044418570000000004,0.544444444
2020-08-28,-0.0044418570000000004,0.662
2020-08-31,0.001933447,-0.46
2020-08-31,0.001933447,0.05
2020-08-31,0.001933447,0.225833333
2020-08-31,0.001933447,0.25
2020-08-31,0.001933447,0.30119047600000004
2020-08-31,0.001933447,0.436111111
2020-08-31,0.001933447,0.58125
2020-01-09,0.046459802,0.0
2020-02-09,-0.005957418000000001,0.10277777800000001
2020-02-09,-0.005957418000000001,0.464583333
2020-03-09,0.000285331,0.0
2020-04-09,0.008273923,0.0
2020-08-09,-0.055461205,0.0
2020-09-09,0.042989738,0.0
2020-10-09,-0.010627575,0.0
2020-11-09,0.01596747,0.0
2020-09-14,0.005143592,-0.6875
2020-09-15,0.014641066999999999,0.033888889
2020-09-15,0.014641066999999999,0.19927272699999998
2020-09-15,0.014641066999999999,0.214236111
2020-09-15,0.014641066999999999,0.5
2020-09-16,0.000840642,0.166666667
2020-09-17,-0.012878009,0.323295455
2020-09-17,-0.012878009,0.38125
2020-09-17,-0.012878009,0.46818181799999997
2020-09-18,0.021837792,0.46666666700000003
2020-09-18,0.021837792,0.5399739579999999
2020-09-21,-0.009852900999999999,0.175
2020-09-21,-0.009852900999999999,0.177777778
2020-09-21,-0.009852900999999999,0.734375
2020-09-22,0.002102341,0.826666667
2020-09-23,-0.007272685,0.65
2020-09-24,-0.010989095,-0.076923077
2020-09-24,-0.010989095,0.175
2020-09-24,-0.010989095,0.3
2020-09-24,-0.010989095,0.428125
2020-09-24,-0.010989095,0.875
2020-09-25,0.001994288,-0.0022108839999999998
2020-09-25,0.001994288,0.075
2020-09-25,0.001994288,0.225
2020-09-25,0.001994288,0.25
2020-09-25,0.001994288,0.7
2020-09-25,0.001994288,0.8
2020-09-28,0.0036963609999999996,-0.5
2020-09-28,0.0036963609999999996,-0.05
2020-09-28,0.0036963609999999996,0.020454545
2020-09-28,0.0036963609999999996,0.30730769199999997
2020-09-29,0.014730893,0.24444444399999998
2020-09-29,0.014730893,0.333333333
2020-09-29,0.014730893,0.45833333299999995
2020-09-30,-0.010329383000000001,0.316666667
2020-09-30,-0.010329383000000001,0.41111111100000003
2020-09-30,-0.010329383000000001,0.6
2020-01-10,0.005641763,0.0
2020-02-10,-0.025806507000000003,0.0
2020-05-10,-0.023898588999999998,0.0
2020-06-10,-0.001769956,0.0
2020-07-10,0.013002335,0.0
2020-08-10,0.004229872,0.0
2020-09-10,-0.001016688,0.0
2020-12-10,0.021372507000000002,0.0
2020-10-13,0.0024199,0.0
2020-10-14,-0.002130091,0.0
2020-10-15,-0.015796116000000002,-0.0625
2020-10-15,-0.015796116000000002,0.22083333300000002
2020-10-15,-0.015796116000000002,0.233333333
2020-10-15,-0.015796116000000002,1.0
2020-10-16,-0.004482446,0.175
2020-10-16,-0.004482446,0.25625
2020-10-16,-0.004482446,0.455
2020-10-19,-0.002033391,0.0
2020-10-20,-0.011206477,0.24444444399999998
2020-10-21,-0.012363909,0.273333333
2020-10-22,-0.001639344,0.0
2020-10-23,-0.020749366,0.0
2020-10-26,-0.002134131,0.4
2020-10-27,0.044149084000000005,-0.434659091
2020-10-27,0.044149084000000005,0.218055556
2020-10-28,-0.004389100000000001,-0.08541666699999999
2020-10-28,-0.004389100000000001,-0.08541666699999999
2020-10-28,-0.004389100000000001,-0.05
2020-10-28,-0.004389100000000001,0.041060606
2020-10-28,-0.004389100000000001,0.05
2020-10-28,-0.004389100000000001,0.333333333
2020-10-28,-0.004389100000000001,0.36666666700000006
2020-10-28,-0.004389100000000001,0.4
2020-10-29,0.021895635,0.068333333
2020-10-29,0.021895635,0.11948051900000001
2020-10-29,0.021895635,0.25
2020-10-29,0.021895635,0.273333333
2020-10-29,0.021895635,0.35
2020-10-29,0.021895635,0.36666666700000006
2020-10-29,0.021895635,0.4
2020-10-29,0.021895635,0.563333333
2020-10-30,-0.026028156,0.125450938
2020-10-30,-0.026028156,0.2
2020-02-11,0.014764505,0.0
2020-03-11,0.01906006,0.238888889
2020-04-11,-0.022272958,0.271428571
2020-05-11,0.061623740999999996,0.17611111100000001
2020-05-11,0.061623740999999996,0.239814815
2020-06-11,-0.028060428,0.0
2020-09-11,-0.061703945,0.004761905
2020-09-11,-0.061703945,0.036111111
2020-10-11,-0.028506771,0.329545455
2020-10-11,-0.028506771,0.375
2020-11-11,-0.01738865,0.0
2020-12-11,0.016590219,0.0
2020-11-13,0.01849554,-0.2
2020-11-16,-0.024263696,-0.015909091
2020-11-16,-0.024263696,0.170833333
2020-11-17,0.003284376,0.26666666699999997
2020-11-18,0.004676461,-0.15625
2020-11-18,0.004676461,0.63
2020-11-19,0.03677274,0.0
2020-11-20,-0.00748279,0.181060606
