Rating,Datadate,Content,Words,BOW,Sentiment Score
5.0,2020-01-03,OMG what can I say my grandaught loves this.  I bought this for her for xmas.  She then spent some of her xmas money to buy a case for the item amd for games.  The games are small and can easily get lost.  If you get one invest in the carrying case it's worth the minimal cost.,"['omg', 'say', 'grandaught', 'love', 'bought', 'xmas', 'spent', 'xmas', 'money', 'buy', 'case', 'item', 'amd', 'game', 'game', 'small', 'easily', 'get', 'lost', 'get', 'one', 'invest', 'carrying', 'case', 'worth', 'minimal', 'cost']","{'item': 1, 'one': 1, 'easily': 1, 'love': 1, 'spent': 1, 'game': 2, 'cost': 1, 'xmas': 2, 'amd': 1, 'money': 1, 'small': 1, 'say': 1, 'carrying': 1, 'get': 2, 'buy': 1, 'lost': 1, 'worth': 1, 'omg': 1, 'case': 2, 'bought': 1, 'minimal': 1, 'invest': 1, 'grandaught': 1}",0.056666666666666664
5.0,2020-01-03,It was exactly what they kidd wanted.,"['exactly', 'kidd', 'wanted']","{'exactly': 1, 'kidd': 1, 'wanted': 1}",0.25
5.0,2020-01-03,"This is a great product if your child (like mine), doesn’t really use the switch with the tv. This is a second switch for us and between the TV full version and the extra, both my kids are happy. The lower price point is a great idea from nintendo. Although this one is much lighter and doesn’t feel as solid, my kids don’t mind.","['great', 'product', 'child', 'like', 'mine', 'really', 'use', 'switch', 'tv', 'second', 'switch', 'u', 'tv', 'full', 'version', 'extra', 'kid', 'happy', 'lower', 'price', 'point', 'great', 'idea', 'nintendo', 'although', 'one', 'much', 'lighter', 'feel', 'solid', 'kid', 'mind']","{'nintendo': 1, 'tv': 2, 'like': 1, 'use': 1, 'full': 1, 'one': 1, 'really': 1, 'great': 2, 'u': 1, 'mind': 1, 'point': 1, 'extra': 1, 'child': 1, 'mine': 1, 'although': 1, 'lower': 1, 'kid': 2, 'switch': 2, 'version': 1, 'price': 1, 'idea': 1, 'second': 1, 'much': 1, 'feel': 1, 'lighter': 1, 'product': 1, 'solid': 1, 'happy': 1}",0.35000000000000003
5.0,2020-01-03,"I bought this for my boyfriend who is normally a PC gamer (and who chose the 5-star rating for this review), but he wanted to play a few certain switch games. He really loves it and to my surprise wishes he had some of his PC games on the Switch Lite instead. He likes the d-pad on the right which the normal switch doesn’t have since the joycons all need to be the same. The one con to this compared to the normal switch is that if it’s low on battery and he wants to play, he needs to sit by the wall to charge it. No docking option. Games with a lot of text are especially nice for him on this because he has a hard time reading the text on the TV, but not when playing handheld. Of course you could achieve this with a regular switch, but at a higher price point. So in conclusion, if you have a hard time with reading on the TV and would like to play handheld all of the time, this is a great alternative to the normal switch. On the other hand, if you like playing on the TV or if your eyes have a hard time looking at small, close up screens for long periods of time like mine, the normal switch is worth the cost.","['bought', 'boyfriend', 'normally', 'pc', 'gamer', 'chose', 'rating', 'review', 'wanted', 'play', 'certain', 'switch', 'game', 'really', 'love', 'surprise', 'wish', 'pc', 'game', 'switch', 'lite', 'instead', 'like', 'right', 'normal', 'switch', 'since', 'joycons', 'need', 'one', 'con', 'compared', 'normal', 'switch', 'low', 'battery', 'want', 'play', 'need', 'sit', 'wall', 'charge', 'docking', 'option', 'game', 'lot', 'text', 'especially', 'nice', 'hard', 'time', 'reading', 'text', 'tv', 'playing', 'handheld', 'course', 'could', 'achieve', 'regular', 'switch', 'higher', 'price', 'point', 'conclusion', 'hard', 'time', 'reading', 'tv', 'would', 'like', 'play', 'handheld', 'time', 'great', 'alternative', 'normal', 'switch', 'hand', 'like', 'playing', 'tv', 'eye', 'hard', 'time', 'looking', 'small', 'close', 'screen', 'long', 'period', 'time', 'like', 'mine', 'normal', 'switch', 'worth', 'cost']","{'lot': 1, 'tv': 3, 'like': 4, 'wanted': 1, 'higher': 1, 'one': 1, 'really': 1, 'docking': 1, 'would': 1, 'love': 1, 'low': 1, 'game': 3, 'wall': 1, 'nice': 1, 'right': 1, 'hard': 3, 'chose': 1, 'certain': 1, 'great': 1, 'achieve': 1, 'long': 1, 'cost': 1, 'point': 1, 'wish': 1, 'could': 1, 'option': 1, 'pc': 2, 'mine': 1, 'playing': 2, 'close': 1, 'instead': 1, 'play': 3, 'especially': 1, 'time': 5, 'reading': 2, 'joycons': 1, 'sit': 1, 'want': 1, 'boyfriend': 1, 'surprise': 1, 'looking': 1, 'screen': 1, 'rating': 1, 'review': 1, 'switch': 7, 'price': 1, 'course': 1, 'hand': 1, 'eye': 1, 'compared': 1, 'small': 1, 'battery': 1, 'normally': 1, 'handheld': 2, 'alternative': 1, 'conclusion': 1, 'normal': 4, 'worth': 1, 'text': 2, 'regular': 1, 'gamer': 1, 'con': 1, 'bought': 1, 'period': 1, 'lite': 1, 'charge': 1, 'since': 1, 'need': 2}",0.10869565217391304
4.0,2020-01-04,"Factory, but the $30 reward/rebate was obviously a scamazon issue. Shoulda bought it at target, a retailer at least will qualify the $30 rebate. And acknowledge it actually existed.  Class action anyone?","['factory', 'obviously', 'scamazon', 'issue', 'shoulda', 'bought', 'target', 'retailer', 'least', 'qualify', 'rebate', 'acknowledge', 'actually', 'existed', 'class', 'action', 'anyone']","{'class': 1, 'obviously': 1, 'scamazon': 1, 'actually': 1, 'anyone': 1, 'action': 1, 'issue': 1, 'acknowledge': 1, 'bought': 1, 'shoulda': 1, 'least': 1, 'qualify': 1, 'retailer': 1, 'rebate': 1, 'existed': 1, 'factory': 1, 'target': 1}",-0.049999999999999996
5.0,2020-01-04,"The Switch Lite is perfect for anyone who plays on the go.  The battery life is better than the standard Switch, and the old school D pad is so much better than the buttons.  This system is great, and I absolutely love the turquoise color.","['switch', 'lite', 'perfect', 'anyone', 'play', 'go', 'battery', 'life', 'better', 'standard', 'switch', 'old', 'school', 'pad', 'much', 'better', 'button', 'system', 'great', 'absolutely', 'love', 'turquoise', 'color']","{'life': 1, 'absolutely': 1, 'love': 1, 'button': 1, 'great': 1, 'anyone': 1, 'color': 1, 'better': 2, 'standard': 1, 'play': 1, 'switch': 2, 'much': 1, 'go': 1, 'system': 1, 'battery': 1, 'perfect': 1, 'old': 1, 'pad': 1, 'lite': 1, 'school': 1, 'turquoise': 1}",0.48571428571428577
5.0,2020-01-04,Love it,['love'],{'love': 1},0.5
5.0,2020-01-04,Great gift for my son!,"['great', 'gift', 'son']","{'great': 1, 'gift': 1, 'son': 1}",1.0
4.0,2020-01-04,"This was a Xmas gift for my son. He loves it. Love that he could take this anywhere, since we do travel a lot. Product in perfect condition but not the box it arrive with. A reason I’m only giving 4stars.","['xmas', 'gift', 'son', 'love', 'love', 'could', 'take', 'anywhere', 'since', 'travel', 'lot', 'product', 'perfect', 'condition', 'box', 'arrive', 'reason', 'giving']","{'lot': 1, 'perfect': 1, 'giving': 1, 'take': 1, 'arrive': 1, 'box': 1, 'could': 1, 'love': 2, 'xmas': 1, 'reason': 1, 'product': 1, 'condition': 1, 'since': 1, 'gift': 1, 'travel': 1, 'son': 1, 'anywhere': 1}",0.5
5.0,2020-01-04,It’s more fun then a barrel of monkeys,"['fun', 'barrel', 'monkey']","{'fun': 1, 'monkey': 1, 'barrel': 1}",0.4
