"title","content","date","variant","images","verified","author","rating","product","url"
"I would like to no if it really comes with a SD card?","It's really a good game for my little brother. But one tiny problem. Does it has to have a 32G SD card? When I open it it got everything but except the SD card. And I don't know if I should contact the owner and tell him. My parents or my brother doesn't know it but if they do. They will be mad.","21 Oct 2020","","","Verified Purchase","QueenOfRosieWorld","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
"
"Faster delivery","My daughter loved","26 Apr 2020","","","Verified Purchase","Yaya","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_10?ie=UTF8&pageNumber=10&reviewerType=all_reviews
"
"Excelente compra","Excelente Llego rápido","02 Nov 2020","","","Verified Purchase","Amazon Customer","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
"
"Worth the price","We got it a day early ! My son loved it. I don’t appreciate the price gouging but it’s worth it.","16 Jun 2020","","","Verified Purchase","Jessie","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
"
"Fun","My grandson loves it","07 Oct 2020","","","Verified Purchase","kristin l goodhart","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
"
"Solid product, but way overinflated price wise","I got it for my fiance. She LOVES it. Sadly, I did pay $457 for it.  It works flawlessly, but the price is just outrageous. If you're really interested in getting one, go to your local Gamestop.  You can pick one up for $300 if they're in stock.","21 Sep 2020","","","Verified Purchase","veronica","4.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
"
"Switch","I am really having fun with. Great game!","24 Jul 2020","","","Verified Purchase","Lisa Reeves","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
"
"Fast service.. great product","The seller shipped super fast and it arrived 2 days. Loving this system! Seller service excellent!","17 Jun 2020","","","Verified Purchase","Kindle Customer","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
"
"Play all the time","Love it","10 Nov 2020","","","Verified Purchase","Angel Melissa Mancil","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
"
"Arrived quick!","It arrived way earlier than expected! Which means I don’t have games for it yet. But It was easy to set up and everything and I’m really looking forward to playing it!","18 Jul 2020","","","Verified Purchase","Fox Kitsune","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
"
"review","not what i thought it would be for the money","05 Oct 2020","","","Verified Purchase","Patrice Payton","2.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
"
"loved it","bought for my sons 10th birthday. this was literally the only supplier whom did have it ... my son loves it. i also enjoy playing with him we're stuck on super smash bros. 😊","13 Oct 2020","","","Verified Purchase","stephanie avalos","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_11?ie=UTF8&pageNumber=11&reviewerType=all_reviews
"
"Luv it","My son loves it","29 Jul 2020","","https://images-na.ssl-images-amazon.com/images/I/71MM+BdQK-L._SY88.jpg","Verified Purchase","Kindle Customer","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
"
"Awesome product","Shipping was fast and the product was received in flawless condition. Works perfectly and my family loves it!","29 Apr 2020","","","Verified Purchase","Shawn Mroczko","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
"
"It’s exactly what I wanted and more.","Battery life amazing, value for money will be playing for years. It’s perfect and I usually hate everything.","11 Oct 2020","","","Verified Purchase","Michael","4.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
"
"Just as advertised (:","Everything came perfectly packaged and in excellent condition. My daughter was super happy when she came home and found her package on her bed. She has had no complaints on how the product operates, and for that, I am very happy with my purchase. Thank you!","15 Sep 2020","","","Verified Purchase","kati","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
"
"This is the newer second version of Nintendo Switch","Received the newer Nintendo Switch V2 new in all red box and everything was there as described and works great. Item was sent quickly, neatly and in great condition. Great seller, thanks so much!","16 Jun 2020","","","Verified Purchase","Z.Jem","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
"
"didnt come with sd card, but still love it!","love it!! although it did not come with the sd card, i still love my switch. obviously its not usually priced at $400 but i get it, everybody wants one. i only gave it 4 stars because of the fact it didnt come with the sd card. but i still love it!!","01 Oct 2020","","https://images-na.ssl-images-amazon.com/images/I/71HbQg7dEnL._SY88.jpg","Verified Purchase","indie","4.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
"
"Nintendo Switch","good system. Like the parental controls and online options.","18 Sep 2020","","","Verified Purchase","BK","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
"
"Sanity","Kids have loved this and it's kept my wife and I from going completely crazy during this lockdown,  the 3 of them even have learned to share equally","04 Sep 2020","","","Verified Purchase","Kevin  Adams","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
"
"Purchase review","I love this purchase so much. It came a little earlier which surprised me!","27 Jun 2020","","","Verified Purchase","Ritamae","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
"
"Great","Grandkids loved it!","17 Sep 2020","","","Verified Purchase","Deborah Rosario","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews
"
"Great value for the money spent.","Bought this for my son. Loves it. Good battery life, able to play with several people.","21 Oct 2020","","","Verified Purchase","Boo937","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews
"
"Keeps my grandson very occupied.","My grandson loves this device, I think he's addicted.","07 Aug 2020","","","Verified Purchase","Glenda W.","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews
"
"Muy buen","Mas costoso que en Best Buy pero buen juguete","06 Oct 2020","","","Verified Purchase","Carlos","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews
"
"A little over priced.","Amazon delivered on time. No problem. Switch unit 2019 price was 299.00 this was twice the price with a SD card added to package. Over priced but hard to get so I paid the price. Happy with the unit. Happy over all.","24 Aug 2020","","","Verified Purchase","Annette D","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews
"
"Super comoda tamaño perfecto","Llego en perfecta condition.","24 Sep 2020","","","Verified Purchase","Damaris","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews
"
